FlowID,Packets,TotalBytes,AvgSize,StdDevSize,BPS,IAT_ms,Duration_s,SYN,ACK,FIN,PSH,RST,URG
149.171.126.12:25-175.45.176.1:9726,40,6144,153.60,271.97,2844.33,55,2.1601,4,38,4,12,0,0
149.171.126.2:53-59.166.0.8:27428,4,388,97.00,8.00,367076.63,0,0.0011,0,0,0,0,0,0
149.171.126.1:63952-59.166.0.4:1331,8,968,121.00,35.93,579293.84,0,0.0017,0,0,0,0,0,0
149.171.126.1:53-59.166.0.4:33212,4,388,97.00,8.00,375605.03,0,0.0010,0,0,0,0,0,0
149.171.126.13:179-175.45.176.1:44901,18,1286,71.44,30.07,1990.68,38,0.6460,4,16,4,0,0,0
149.171.126.8:50128-59.166.0.4:43567,20,9568,478.40,628.42,43009.21,11,0.2225,4,18,4,4,0,0
149.171.126.13:21-175.45.176.3:7683,26,1854,71.31,13.33,936.88,79,1.9789,4,24,4,0,0,0
149.171.126.5:22-59.166.0.8:18406,56,10098,180.32,226.16,70763.34,2,0.1427,4,54,4,24,0,0
149.171.126.3:80-59.166.0.4:61926,32,12364,386.38,531.87,10671.92,37,1.1586,4,30,4,10,0,0
149.171.126.4:80-59.166.0.6:23458,32,12364,386.38,531.87,12156.86,32,1.0170,4,30,4,10,0,0
149.171.126.9:6881-59.166.0.0:1335,34,3728,109.65,88.55,171134.78,0,0.0218,4,32,4,12,0,0
149.171.126.9:53-59.166.0.8:53117,4,360,90.00,8.00,263350.40,0,0.0014,0,0,0,0,0,0
149.171.126.18:25-175.45.176.0:27881,48,11373,236.94,418.32,4178.02,57,2.7221,4,46,4,14,0,0
149.171.126.2:44372-59.166.0.8:39688,8,968,121.00,35.93,576190.48,0,0.0017,0,0,0,0,0,0
149.171.126.6:3704-59.166.0.2:2728,130,60684,466.80,584.62,682172.29,0,0.0890,4,128,4,62,0,0
149.171.126.2:50787-59.166.0.6:45985,130,60684,466.80,584.62,2091037.52,0,0.0290,4,128,4,62,0,0
149.171.126.3:21-59.166.0.5:32144,106,8372,78.98,16.17,5343.11,14,1.5669,4,104,4,48,0,0
149.171.126.1:55937-59.166.0.0:28106,138,65682,475.96,587.15,2219211.41,0,0.0296,4,136,4,66,0,0
149.171.126.8:6881-59.166.0.1:56153,596,506680,850.13,702.74,306402.66,2,1.6536,4,594,4,212,0,0
149.171.126.18:80-175.45.176.3:55911,18,1560,86.67,73.02,2084.91,44,0.7482,4,16,4,0,0,0
149.171.126.2:80-59.166.0.4:18257,30,12228,407.60,542.71,12152.54,34,1.0062,4,28,4,10,0,0
149.171.126.7:80-59.166.0.2:27660,32,12364,386.38,531.87,12170.24,32,1.0159,4,30,4,10,0,0
149.171.126.4:111-59.166.0.0:27582,8,1016,127.00,31.00,215619.69,0,0.0047,0,0,0,0,0,0
149.171.126.0:5190-59.166.0.4:37813,50,5258,105.16,96.57,725541.60,0,0.0072,4,48,4,22,0,0
149.171.126.11:80-175.45.176.2:8563,16,2050,128.12,177.25,8353.27,16,0.2454,4,14,4,0,0,0
149.171.126.3:53-59.166.0.7:27801,4,388,97.00,8.00,361602.98,0,0.0011,0,0,0,0,0,0
149.171.126.10:500-175.45.176.2:500,2,1000,500.00,0.00,90909090.91,0,0.0000,0,0,0,0,0,0
149.171.126.9:22-59.166.0.3:10516,56,10098,180.32,226.16,24582.38,7,0.4108,4,54,4,24,0,0
149.171.126.2:25-59.166.0.6:47754,94,42152,448.43,617.05,1585198.00,0,0.0266,4,92,4,36,0,0
149.171.126.5:6881-59.166.0.9:55170,34,3728,109.65,88.55,14857.74,7,0.2509,4,32,4,12,0,0
149.171.126.7:22-59.166.0.5:20504,136,27676,203.50,266.25,34283.70,5,0.8073,4,134,4,64,0,0
